src_v,aim_v,soil_depth,units,type,freq,lvlmark,sp_dates,approx_dates,desc
ta,TT,-1,K,3d,6hr,PlevPtInt,1,False,3-d air temperature
hus,SPECHUMD,-1,kg kg-1,3d,6hr,PlevPtInt,1,False,3-d specific humidity
ua,UU,-1,m s-1,3d,6hr,PlevPtInt,1,False,3-d wind u-component
va,VV,-1,m s-1,3d,6hr,PlevPtInt,1,False,3-d wind v-component
ps,PSFC,-1,Pa,2d,6hr,Lev,1,False,Surface pressure
psl,PMSL,-1,Pa,2d,day,None,1,True,Mean sea-level pressure
tos,SST,-1,degC,2d,Oday,None,1,True,Sea surface temperature
sftlf,LANDSEA,-1,%,2d,fx,None,-1,False,Land/Sea flag
mrsol,SM000007,0.04,kg m-2,2d-soil,Eday,None,1,True,0-7 cm soil moisture
mrsol,SM007013,0.09,kg m-2,2d-soil,Eday,None,1,True,7-13 cm soil moisture
mrsol,SM013021,0.16,kg m-2,2d-soil,Eday,None,1,True,13-21 cm soil moisture
mrsol,SM021033,0.26,kg m-2,2d-soil,Eday,None,1,True,21-33 cm soil moisture
mrsol,SM033049,0.40,kg m-2,2d-soil,Eday,None,1,True,33-49 cm soil moisture
mrsol,SM049069,0.58,kg m-2,2d-soil,Eday,None,1,True,49-69 cm soil moisture
mrsol,SM069093,0.80,kg m-2,2d-soil,Eday,None,1,True,69-93 cm soil moisture
mrsol,SM093121,1.06,kg m-2,2d-soil,Eday,None,1,True,93-121 cm soil moisture
mrsol,SM121153,1.36,kg m-2,2d-soil,Eday,None,1,True,121-153 cm soil moisture
mrsol,SM153189,1.70,kg m-2,2d-soil,Eday,None,1,True,153-189 cm soil moisture
tsl,ST000007,0.04,K,2d-soil,Eday,None,1,True,0-7 cm soil temp
tsl,ST007013,0.09,K,2d-soil,Eday,None,1,True,7-13 cm soil temp
tsl,ST013021,0.16,K,2d-soil,Eday,None,1,True,13-21 cm soil temp
tsl,ST021033,0.26,K,2d-soil,Eday,None,1,True,21-33 cm soil temp
tsl,ST033049,0.40,K,2d-soil,Eday,None,1,True,33-49 cm soil temp
tsl,ST049069,0.58,K,2d-soil,Eday,None,1,True,49-69 cm soil temp
tsl,ST069093,0.80,K,2d-soil,Eday,None,1,True,69-93 cm soil temp
tsl,ST093121,1.06,K,2d-soil,Eday,None,1,True,93-121 cm soil temp
tsl,ST121153,1.36,K,2d-soil,Eday,None,1,True,121-153 cm soil temp
tsl,ST153189,1.70,K,2d-soil,Eday,None,1,True,153-189 cm soil temp
siconc,SEAICE,-1,%,2d,SIday,None,1,True,Sea-ice fraction
sithick,ICEDEPTH,-1,m,2d,SIday,None,1,True,Sea-ice thickness
