src_v,aim_v,soil_depth,units,type,freq,lvlmark,sp_dates,approx_dates,desc
ta,TT,-1,K,3d,6hr,PlevPt,1,False,3-d air temperature
hus,SPECHUMD,-1,kg kg-1,3d,6hr,PlevPt,1,False,3-d specific humidity
ua,UU,-1,m s-1,3d,6hr,PlevPtInt,1,False,3-d wind u-component
va,VV,-1,m s-1,3d,6hr,PlevPtInt,1,False,3-d wind v-component
zg,GHT,-1,m,3d,6hr,PlevPt,1,False,3-d geopotential height
ps,PSFC,-1,Pa,2d,6hr,Lev,1,False,Surface pressure
tas,TT,-1,K,2d,6hr,PlevPt,1,False,2-m temperature
uas,UU,-1,m s-1,2d,6hr,PlevPt,1,False,10m wind u-component
vas,VV,-1,m s-1,2d,6hr,PlevPt,1,False,10m wind v-component
ts,SKINTEMP,-1,K,2d,6hr,PlevPt,1,False,Skin temperature
psl,PMSL,-1,Pa,2d,6hr,PlevPt,1,False,Mean sea-level pressure
huss,SPECHUMD,-1,kg kg-1,2d,6hr,PlevPt,1,False,2-m relative humidity
tos,SST,-1,degC,2d,3hr,None,1,False,Sea surface temperature
sftlf,LANDSEA,-1,%,2d,fx,None,-1,False,Land/Sea flag
mrsol,SM000007,0.03,kg m-2,2d-soil,6hr,PlevPt,1,True,0-7 cm soil moisture
mrsol,SM007032,0.19,kg m-2,2d-soil,6hr,PlevPt,1,True,7-32 cm soil moisture
mrsol,SM032123,0.78,kg m-2,2d-soil,6hr,PlevPt,1,True,32-123 cm soil moisture
mrsol,SM123413,2.68,kg m-2,2d-soil,6hr,PlevPt,1,True,123-413 cm soil moisture
mrsol,SM413983,6.98,kg m-2,2d-soil,6hr,PlevPt,1,True,413-983 cm soil moisture
tsl,ST000007,0.03,K,2d-soil,Lmon,None,1,True,0-7 cm soil temp
tsl,ST007032,0.19,K,2d-soil,Lmon,None,1,True,7-32 cm soil temp
tsl,ST032123,0.78,K,2d-soil,Lmon,None,1,True,32-123 cm soil temp
tsl,ST123413,2.68,K,2d-soil,Lmon,None,1,True,123-413 cm soil temp
tsl,ST413983,6.98,K,2d-soil,Lmon,None,1,True,413-983 cm soil temp
siconc,SEAICE,-1,%,2d,SIday,None,1,True,Sea-ice fraction
sithick,ICEDEPTH,-1,m,2d,SIday,None,1,True,Sea-ice thickness
